ExposureType,MaterialType,Time,SampleNo,Silane,YI,L,a,b,Haze,WaterCA,DiiodoCA,SFEtot,SFEpolar,SFEdisp,edge,center,center.1,center.2,edge.1,edge.2,edge.3,DepNo
Cyclic,AZO,331,sa18814,No,,,,,,,16.8,84,35.7,48.3,,,,,,,,
Cyclic,AZO,331,sa18814,No,,,,,,,26.2,84,35.7,48.3,,,,,,,,
Cyclic,AZO,0,sa18815,No,4.95,,,,0.5,,,,,,10.306,9.921,9.807,10.029,10.007,9.821,10.075,
Cyclic,AZO,499,sa18815,No,5.83,,,,0.8,10.3,,83.6,36.6,47,11.838,11.511,11.57,11.897,11.625,11.185,11.044,
Cyclic,AZO,499,sa18815,No,,,,,,8,,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18815,No,,,,,,7.4,,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18815,No,,,,,,11.4,,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18815,No,,,,,,11.5,,83.6,36.6,47,,,,,,,,
Cyclic,AZO,0,sa18816,No,5.25,,,,0.7,,,,,,11.52,10.428,10.043,10.818,10.532,9.966,10.587,
Cyclic,AZO,499,sa18816,No,6.77,,,,1.3,5.5,,83.6,36.6,47,12.703,11.992,11.829,12.214,11.72,11.878,13.134,
Cyclic,AZO,499,sa18816,No,,,,,,4.4,,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18816,No,,,,,,9,,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18816,No,,,,,,,18.5,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18816,No,,,,,,,22.5,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18816,No,,,,,,,26.8,83.6,36.6,47,,,,,,,,
Cyclic,AZO,0,sa18817,No,6.27,,,,0.8,,,,,,9.286,9.118,9.15,9.137,9.082,9.277,9.422,
Cyclic,AZO,499,sa18817,No,7.21,,,,1,,20.6,83.6,36.6,47,9.708,10.451,10.487,10.632,10.736,10.727,10.854,
Cyclic,AZO,499,sa18817,No,,,,,,,22.1,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18817,No,,,,,,,27.4,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18817,No,,,,,,,11.7,83.6,36.6,47,,,,,,,,
Cyclic,AZO,499,sa18817,No,,,,,,,27.3,83.6,36.6,47,,,,,,,,
Cyclic,AZO,0,sa18818,No,5.28,,,,0.6,,,,,,10.501,10.319,10.319,10.342,10.238,10.433,10.569,
